2025-03-12 17:11:07 [INFO] 開始訓練...
2025-03-12 17:11:07 [INFO] 沒有找到快取檔，開始讀取並處理每個音檔...
2025-03-12 17:11:07 [INFO] 正在處理 123456_Zhehui 的音檔
2025-03-12 17:11:13 [INFO] 正在處理 654321_Baiway 的音檔
2025-03-12 17:11:19 [INFO] 正在處理 921510_Roger 的音檔
2025-03-12 17:11:22 [INFO] 正在處理 921588_Leon 的音檔
2025-03-12 17:11:30 [INFO] 已完成音檔 0.8, 0.2 分割並快取，train=50148, test=12600
2025-03-12 17:12:17 [INFO] Epoch 49, Loss: 0.1161, lr: 0.000156
2025-03-12 17:12:18 [INFO] Epoch 50, Loss: 0.1158, lr: 0.000156
2025-03-12 17:12:19 [INFO] Epoch 51, Loss: 0.1161, lr: 0.000156
2025-03-12 17:12:20 [INFO] Epoch 52, Loss: 0.1161, lr: 0.000156
2025-03-12 17:12:21 [INFO] Epoch 53, Loss: 0.1159, lr: 0.000156
2025-03-12 17:12:22 [INFO] Epoch 54, Loss: 0.1164, lr: 0.000156
2025-03-12 17:12:22 [INFO] Epoch 55, Loss: 0.1151, lr: 0.000078
2025-03-12 17:12:23 [INFO] Epoch 56, Loss: 0.1149, lr: 0.000078
2025-03-12 17:12:24 [INFO] Epoch 57, Loss: 0.1148, lr: 0.000078
2025-03-12 17:12:25 [INFO] Epoch 58, Loss: 0.1148, lr: 0.000078
2025-03-12 17:12:26 [INFO] Epoch 59, Loss: 0.1150, lr: 0.000078
2025-03-12 17:12:27 [INFO] Epoch 60, Loss: 0.1150, lr: 0.000078
2025-03-12 17:12:28 [INFO] Epoch 61, Loss: 0.1149, lr: 0.000078
2025-03-12 17:12:29 [INFO] Epoch 62, Loss: 0.1142, lr: 0.000039
2025-03-12 17:12:30 [INFO] Epoch 63, Loss: 0.1142, lr: 0.000039
2025-03-12 17:12:31 [INFO] Epoch 64, Loss: 0.1143, lr: 0.000039
2025-03-12 17:12:32 [INFO] Epoch 65, Loss: 0.1142, lr: 0.000039
2025-03-12 17:12:33 [INFO] Epoch 66, Loss: 0.1143, lr: 0.000039
2025-03-12 17:12:34 [INFO] Epoch 67, Loss: 0.1140, lr: 0.000020
2025-03-12 17:12:35 [INFO] Epoch 68, Loss: 0.1141, lr: 0.000020
2025-03-12 17:12:36 [INFO] Epoch 69, Loss: 0.1140, lr: 0.000020
2025-03-12 17:12:37 [INFO] Epoch 70, Loss: 0.1142, lr: 0.000020
2025-03-12 17:12:38 [INFO] Epoch 71, Loss: 0.1141, lr: 0.000020
2025-03-12 17:12:39 [INFO] Epoch 72, Loss: 0.1140, lr: 0.000010
2025-03-12 17:12:40 [INFO] Epoch 73, Loss: 0.1140, lr: 0.000010
2025-03-12 17:12:41 [INFO] Epoch 74, Loss: 0.1139, lr: 0.000010
2025-03-12 17:12:42 [INFO] Epoch 75, Loss: 0.1139, lr: 0.000010
2025-03-12 17:12:43 [INFO] Epoch 76, Loss: 0.1140, lr: 0.000010
2025-03-12 17:12:44 [INFO] Epoch 77, Loss: 0.1139, lr: 0.000010
2025-03-12 17:12:45 [INFO] Epoch 78, Loss: 0.1139, lr: 0.000010
2025-03-12 17:12:46 [INFO] Epoch 79, Loss: 0.1139, lr: 0.000005
2025-03-12 17:12:47 [INFO] Epoch 80, Loss: 0.1139, lr: 0.000005
2025-03-12 17:12:48 [INFO] Epoch 81, Loss: 0.1138, lr: 0.000005
2025-03-12 17:12:48 [INFO] Epoch 82, Loss: 0.1138, lr: 0.000005
2025-03-12 17:12:50 [INFO] Epoch 83, Loss: 0.1139, lr: 0.000005
2025-03-12 17:12:50 [INFO] Epoch 84, Loss: 0.1139, lr: 0.000005
2025-03-12 17:12:51 [INFO] Epoch 85, Loss: 0.1139, lr: 0.000005
2025-03-12 17:12:52 [INFO] Epoch 86, Loss: 0.1138, lr: 0.000002
2025-03-12 17:12:53 [INFO] Epoch 87, Loss: 0.1139, lr: 0.000002
2025-03-12 17:12:54 [INFO] Epoch 88, Loss: 0.1139, lr: 0.000002
2025-03-12 17:12:55 [INFO] Epoch 89, Loss: 0.1138, lr: 0.000002
2025-03-12 17:12:56 [INFO] Epoch 90, Loss: 0.1138, lr: 0.000002
2025-03-12 17:12:57 [INFO] Epoch 91, Loss: 0.1138, lr: 0.000001
2025-03-12 17:12:58 [INFO] Epoch 92, Loss: 0.1139, lr: 0.000001
2025-03-12 17:12:59 [INFO] Epoch 93, Loss: 0.1138, lr: 0.000001
2025-03-12 17:13:00 [INFO] Epoch 94, Loss: 0.1138, lr: 0.000001
2025-03-12 17:13:00 [INFO] Epoch 95, Loss: 0.1138, lr: 0.000001
2025-03-12 17:13:01 [INFO] Epoch 96, Loss: 0.1138, lr: 0.000001
2025-03-12 17:13:01 [INFO] Loss 停滯 5 epochs，提前停止訓練
2025-03-12 17:13:01 [INFO] 訓練結束
